"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2019,1,142,"엠씨더맥스 (M.C The Max)","Circular","물그림","물그림","",3,0,0
2019,1,143,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","가끔 (With You)","가끔","",2,0,1
2019,1,144,"Wanna One (워너원)","약속해요 (I.P.U.) - Special Theme Track","약속해요 (I.P.U.)","약속해요","",4,0,1
2019,1,145,"카더가든","더 팬 3ROUND Part.1","그대 나를 일으켜주면","그대 나를 일으켜주면","",11,0,0
2019,1,147,"BTS","LOVE YOURSELF 轉 `Tear`","Anpanman","","Anpanman",0,8,1
2019,1,150,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","Damage","","Damage",0,6,1
2019,1,151,"TWICE","The year of `YES`","올해 제일 잘한 일","올해 제일 잘한 일","",10,0,0
2019,1,152,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","오아시스 (Oasis)","오아시스","",4,0,1
2019,1,153,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","후폭풍 (Bad Dream)","후폭풍","",3,0,1
2019,1,158,"김하온 (HAON)","고등래퍼2 Final","붕붕","붕붕","",2,0,0
2019,1,159,"10cm","4.1","매트리스","매트리스","",4,0,0
2019,1,160,"다이나믹 듀오 (Dynamic Duo)","북향","북향","북향","",2,0,0
2019,1,162,"용준형","소나기","소나기","소나기","",3,0,0
2019,1,166,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","묻고싶다 (One Love)","묻고싶다","",4,0,1
2019,1,168,"청하","Blooming Blue","Love U","","Love U",0,6,1
2019,1,176,"볼빨간사춘기 (BOL4)","WHY : 당신이 연인에게 차인 진짜 이유 OST Part.1","My Trouble","","My Trouble",0,10,1
2019,1,178,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","Beautiful (Part ll)","","Beautiful",0,9,1
2019,1,181,"엠씨더맥스 (M.C The Max)","Circular","가","가","",1,0,0
2019,1,184,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","소나무","소나무","",3,0,0
2019,1,185,"카더가든","더 팬 2ROUND Part.1","명동콜링","명동콜링","",4,0,0
2019,1,188,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","Deeper","","Deeper",0,6,1
2019,1,189,"루피(Loopy)","쇼미더머니 777 Semi Final","NoNo","","NoNo",0,4,1
2019,1,190,"박보검","별 보러 가자","별 보러 가자","별 보러 가자","",7,0,0
2019,1,192,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","Awake!","","Awake",0,5,1
2019,1,194,"크러쉬 (CRUSH)","도깨비 OST Part 4","Beautiful","","Beautiful",0,9,1
2019,1,197,"Adele","21","Someone Like You","","Someone Like You",0,16,1
2019,1,198,"iKON","NEW KIDS : CONTINUE","죽겠다 (KILLING ME)","죽겠다","",3,0,1
2019,1,200,"(여자)아이들","I am","LATATA","","LATATA",0,6,1
2020,1,1,"창모 (CHANGMO)","Boyhood","METEOR","","METEOR",0,6,1
2020,1,2,"Red Velvet","`The ReVe Festival` Finale","Psycho","","Psycho",0,6,1
